language,filename,blank,comment,code
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/GenericMRLoadGenerator.java,47,39,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/TestQuota.java,131,169,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/capacity_scheduler.xml,41,12,1
Perl,hadoop-branch-1.0/src/contrib/thriftfs/gen-perl/Types.pm,25,5,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/MiniDFSCluster.java,80,346,1
Java,hadoop-branch-1.0/src/benchmarks/gridmix2/src/java/org/apache/hadoop/mapred/GridMixRunner.java,67,17,1
Python,hadoop-branch-1.0/src/contrib/hod/hodlib/Hod/hadoop.py,115,57,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/TestMapRed.java,81,190,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/HistoryViewer.java,29,21,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/http/HttpServer.java,77,204,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/io/FileBench.java,25,26,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/FileUtil.java,55,194,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/HftpFileSystem.java,80,73,1
XML,hadoop-branch-1.0/src/docs/cn/src/documentation/content/xdocs/streaming.xml,55,12,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/datanode/DataXceiver.java,53,105,1
Java,hadoop-branch-1.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/PipeMapRed.java,82,68,1
XML,hadoop-branch-1.0/src/docs/cn/src/documentation/content/xdocs/commands_manual.xml,39,12,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/io/file/tfile/BCFile.java,123,317,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/fs/FSMainOperationsBaseTest.java,131,78,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/server/datanode/SimulatedFSDataset.java,100,95,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/MiniMRCluster.java,84,155,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/NamenodeFsck.java,32,93,1
XML,hadoop-branch-1.0/src/docs/cn/src/documentation/content/xdocs/hod_user_guide.xml,25,0,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/common/Storage.java,78,273,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/conf/TestConfiguration.java,73,45,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/JspHelper.java,50,67,1
Bourne Shell,hadoop-branch-1.0/src/test/bin/test-patch.sh,62,89,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/TaskRunner.java,87,227,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/server/namenode/TestCheckpoint.java,61,154,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/TaskLog.java,68,217,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/security/authentication/server/TestAuthenticationFilter.java,91,22,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/fair_scheduler.xml,8,93,1
Python,hadoop-branch-1.0/src/contrib/hod/hodlib/Common/socketServers.py,99,32,1
CSS,hadoop-branch-1.0/src/docs/cn/src/documentation/skins/pelt/css/screen.css,57,42,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/io/compress/TestCodec.java,76,63,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/record/compiler/generated/Rcc.java,32,18,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/Counters.java,93,241,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/file_system_shell.xml,55,41,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/JvmManager.java,55,79,1
Java,hadoop-branch-1.0/src/tools/org/apache/hadoop/tools/rumen/JobBuilder.java,115,72,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/SecondaryNameNode.java,65,137,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/hdfs_design.xml,63,19,1
XML,hadoop-branch-1.0/src/benchmarks/gridmix2/gridmix_config.xml,75,1,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/net/NetworkTopology.java,41,150,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/util/StringUtils.java,52,250,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/TestQueueManager.java,52,84,1
Java,hadoop-branch-1.0/src/test/system/java/org/apache/hadoop/mapred/TestTaskChildsKilling.java,56,38,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/tools/rumen/TestRumenJobTraces.java,123,44,1
Java,hadoop-branch-1.0/src/test/system/java/org/apache/hadoop/mapred/TestTaskKilling.java,44,70,1
JSP,hadoop-branch-1.0/src/webapps/job/jobdetails.jsp,29,2,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/JSPUtil.java,55,97,1
Java,hadoop-branch-1.0/src/contrib/vaidya/src/java/org/apache/hadoop/vaidya/statistics/job/JobStatistics.java,60,151,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/TestTaskLogsTruncater.java,87,114,1
Java,hadoop-branch-1.0/src/tools/org/apache/hadoop/tools/rumen/LoggedJob.java,128,33,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/s3native/NativeS3FileSystem.java,84,53,1
Java,hadoop-branch-1.0/src/contrib/thriftfs/src/java/org/apache/hadoop/thriftfs/HadoopThriftServer.java,56,119,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/TestJobCounters.java,100,163,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapreduce/lib/input/CombineFileInputFormat.java,75,179,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/LocalJobRunner.java,84,69,1
Ant,hadoop-branch-1.0/src/contrib/hdfsproxy/build.xml,47,33,1
Python,hadoop-branch-1.0/src/contrib/thriftfs/gen-py/hadoopfs/ttypes.py,54,5,1
Python,hadoop-branch-1.0/src/contrib/hod/hodlib/Common/logger.py,193,161,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/lib/TestCombineFileInputFormat.java,33,49,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/io/MapFile.java,98,166,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/Merger.java,74,58,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/io/TestSequenceFile.java,79,43,1
C++,hadoop-branch-1.0/src/contrib/thriftfs/gen-cpp/hadoopfs_types.cpp,64,5,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/util/TestProcfsBasedProcessTree.java,70,109,1
Java,hadoop-branch-1.0/src/test/system/java/org/apache/hadoop/mapred/TestTaskTrackerInfoSuccessfulFailedJobs.java,85,120,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/ftp/FTPFileSystem.java,37,124,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/ReliabilityTest.java,33,51,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/metrics2/impl/MetricsSystemImpl.java,45,48,1
Java,hadoop-branch-1.0/src/tools/org/apache/hadoop/tools/DistCh.java,55,49,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/ControlledMapReduceJob.java,58,104,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/io/file/tfile/TestTFileSeek.java,69,22,1
Bourne Shell,hadoop-branch-1.0/src/contrib/hod/bin/hod,140,27,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/fs/DFSCIOTest.java,65,85,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/util/ProcfsBasedProcessTree.java,63,137,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/SortValidator.java,76,96,1
JSP,hadoop-branch-1.0/src/webapps/history/jobhistoryhome.jsp,101,65,1
Java,hadoop-branch-1.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/StreamUtil.java,55,41,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/security/TestDoAsEffectiveUser.java,65,41,1
AspectJ,hadoop-branch-1.0/src/test/system/aop/org/apache/hadoop/mapred/JobTrackerAspect.aj,36,121,1
Java,hadoop-branch-1.0/src/test/system/java/org/apache/hadoop/test/system/AbstractDaemonCluster.java,53,190,1
XML,hadoop-branch-1.0/src/docs/cn/src/documentation/content/xdocs/hdfs_shell.xml,7,76,1
C,hadoop-branch-1.0/src/c++/libhdfs/hdfsJniHelper.c,53,35,1
JSP,hadoop-branch-1.0/src/webapps/datanode/browseBlock.jsp,29,10,1
XML,hadoop-branch-1.0/src/core/core-default.xml,77,20,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/FileInputFormat.java,87,136,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/ipc/RPC.java,70,146,1
Java,hadoop-branch-1.0/src/contrib/fuse-dfs/src/test/TestFuseDFS.java,111,129,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/RawLocalFileSystem.java,62,64,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/lib/CombineFileInputFormat.java,71,161,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/DistributedFileSystem.java,85,164,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/TestKillSubProcesses.java,70,95,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/ChecksumFileSystem.java,63,130,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/IFile.java,85,106,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/JobLocalizer.java,47,145,1
C++,hadoop-branch-1.0/src/c++/librecordio/xmlarchive.cc,41,18,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/HardLink.java,50,211,1
XML,hadoop-branch-1.0/src/hdfs/hdfs-default.xml,57,3,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/join/TestDatamerge.java,34,19,1
Java,hadoop-branch-1.0/src/contrib/fairscheduler/src/java/org/apache/hadoop/mapred/PoolManager.java,45,134,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/ReplicationTargetChooser.java,40,121,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/io/Text.java,59,172,1
Java,hadoop-branch-1.0/src/tools/org/apache/hadoop/tools/rumen/LoggedTaskAttempt.java,80,31,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/web/JsonUtil.java,60,47,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/TaskLogsTruncater.java,46,113,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/ipc/TestRPC.java,86,43,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/join/Parser.java,44,84,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/ipc/TestSaslRPC.java,52,22,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/server/namenode/TestFsck.java,37,57,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/util/TestGSet.java,52,50,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/datanode/BlockSender.java,62,104,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/fs/TestGlobPaths.java,39,43,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/record/compiler/generated/SimpleCharStream.java,67,25,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/fs/TestDFSIO.java,45,78,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/DatanodeDescriptor.java,66,164,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/io/file/tfile/TestTFile.java,39,47,1
Java,hadoop-branch-1.0/src/contrib/gridmix/src/java/org/apache/hadoop/mapred/gridmix/Gridmix.java,48,103,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/cli/TestCLI.java,61,69,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/datanode/DataStorage.java,37,102,1
Java,hadoop-branch-1.0/src/contrib/capacity-scheduler/src/test/org/apache/hadoop/mapred/TestCapacitySchedulerConf.java,63,26,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/fs/TestHarFileSystem.java,29,57,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/TestReplication.java,51,61,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/server/namenode/TestBlockTokenWithDFS.java,57,134,1
JavaScript,hadoop-branch-1.0/src/webapps/static/sorttable.js,48,107,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/TestDFSClientRetries.java,100,75,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/record/Utils.java,33,121,1
Java,hadoop-branch-1.0/src/contrib/thriftfs/gen-java/org/apache/hadoop/thriftfs/api/FileStatus.java,24,5,1
Java,hadoop-branch-1.0/src/contrib/gridmix/src/java/org/apache/hadoop/mapred/gridmix/SleepJob.java,43,27,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/datanode/web/resources/DatanodeWebHdfsMethods.java,30,26,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/io/file/tfile/TestTFileStreams.java,41,47,1
Java,hadoop-branch-1.0/src/contrib/gridmix/src/test/org/apache/hadoop/mapred/gridmix/TestGridmixSubmission.java,42,29,1
Python,hadoop-branch-1.0/src/contrib/thriftfs/scripts/hdfs.py,93,132,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/fs/FileSystemContractBaseTest.java,94,39,1
JSP,hadoop-branch-1.0/src/webapps/history/jobdetailshistory.jsp,18,0,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/TaskTrackerStatus.java,75,284,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/InMemoryFileSystem.java,56,66,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/io/compress/zlib/BuiltInGzipDecompressor.java,55,194,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/lib/Chain.java,49,173,1
C,hadoop-branch-1.0/src/c++/libhdfs/hdfs_test.c,79,44,1
XML,hadoop-branch-1.0/src/docs/cn/src/documentation/content/xdocs/cluster_setup.xml,54,12,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/TestDatanodeBlockScanner.java,53,79,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/s3/Jets3tFileSystemStore.java,46,19,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapreduce/lib/partition/TestKeyFieldHelper.java,50,58,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/lib/TestKeyFieldHelper.java,50,58,1
JSP,hadoop-branch-1.0/src/webapps/job/taskdetails.jsp,14,3,1
XSLT,hadoop-branch-1.0/src/docs/cn/src/documentation/skins/common/xslt/html/document-to-html.xsl,6,53,1
